country,cases,deaths,recovered,critical,active,mortality_rate,critical_ratio
Afghanistan,234174,7996,211080,0,15098,3.41,0.0
Albania,334863,3605,330233,0,1025,1.08,0.0
Algeria,272010,6881,183061,0,82068,2.53,0.0
Andorra,48015,165,0,0,47850,0.34,0.0
Angola,107327,1937,103419,0,1971,1.8,0.0
Anguilla,3904,12,0,0,3892,0.31,0.0
Antigua and Barbuda,9106,146,8954,0,6,1.6,0.0
Argentina,10128845,130841,9997258,0,746,1.29,0.0
Armenia,451831,8777,435162,0,7892,1.94,0.0
Aruba,44224,292,42438,2,1494,0.66,0.13
Australia,11853144,24414,11820014,3,8716,0.21,0.03
Austria,6081287,22542,6054934,0,3811,0.37,0.0
Azerbaijan,835234,10400,824089,0,745,1.25,0.0
Bahamas,38084,844,36366,1,874,2.22,0.11
Bahrain,729549,1574,727915,0,60,0.22,0.0
Bangladesh,2049377,29493,0,0,2019884,1.44,0.0
Barbados,110578,648,108647,0,1283,0.59,0.0
Belarus,994037,7118,985592,0,1327,0.72,0.0
Belgium,4861695,34376,4826798,0,521,0.71,0.0
Belize,71409,688,0,0,70721,0.96,0.0
Benin,28036,163,27847,0,26,0.58,0.0
Bermuda,18860,165,18685,0,10,0.87,0.0
Bhutan,62697,21,61564,0,1112,0.03,0.0
Bolivia,1212131,22407,1177145,220,12579,1.85,1.75
Bosnia,403615,16388,379084,0,8143,4.06,0.0
Botswana,330638,2801,327049,1,788,0.85,0.13
Brazil,38743918,711380,36249161,0,1783377,1.84,0.0
British Virgin Islands,7392,64,0,0,7328,0.87,0.0
Brunei,343719,225,243601,3,99893,0.07,0.0
Bulgaria,1339851,38748,1292944,22,8159,2.89,0.27
Burkina Faso,22114,400,21596,0,118,1.81,0.0
Burundi,54721,38,53569,0,1114,0.07,0.0
Cabo Verde,64477,417,63755,23,305,0.65,7.54
Cambodia,139103,3056,136044,0,3,2.2,0.0
Cameroon,125379,1974,123280,0,125,1.57,0.0
Canada,4946090,59034,4881312,99,5744,1.19,1.72
Caribbean Netherlands,11682,38,10476,0,1168,0.33,0.0
Cayman Islands,31472,37,8553,1,22882,0.12,0.0
Central African Republic,15440,113,15200,2,127,0.73,1.57
Chad,7701,194,4874,0,2633,2.52,0.0
Channel Islands,101717,228,101321,0,168,0.22,0.0
Chile,5384853,64497,5252450,7,67906,1.2,0.01
China,503302,5272,379053,0,118977,1.05,0.0
Colombia,6400173,143200,6212152,342,44821,2.24,0.76
Comoros,9109,161,8939,0,9,1.77,0.0
Congo,25375,386,24006,0,983,1.52,0.0
Cook Islands,7203,2,7150,0,51,0.03,0.0
Costa Rica,1238883,9428,0,0,1229455,0.76,0.0
Croatia,1309728,18687,1258432,0,32609,1.43,0.0
Cuba,1115251,8530,1106660,0,61,0.76,0.0
