api_fetched_at,timestamp,temperature,rainfall,hour,condition
2026-06-08 17:20:04,2026-06-01 00:00:00,14.4,0.0,0,Clear
2026-06-08 17:20:04,2026-06-01 01:00:00,14.1,0.0,1,Clear
2026-06-08 17:20:04,2026-06-01 02:00:00,14.1,0.0,2,Clear
2026-06-08 17:20:04,2026-06-01 03:00:00,13.9,0.0,3,Clear
2026-06-08 17:20:04,2026-06-01 04:00:00,13.3,0.0,4,Clear
2026-06-08 17:20:04,2026-06-01 05:00:00,13.4,0.0,5,Clear
2026-06-08 17:20:04,2026-06-01 06:00:00,14.4,0.0,6,Clear
2026-06-08 17:20:04,2026-06-01 07:00:00,15.6,0.0,7,Clear
2026-06-08 17:20:04,2026-06-01 08:00:00,17.1,0.0,8,Clear
2026-06-08 17:20:04,2026-06-01 09:00:00,17.5,0.0,9,Clear
2026-06-08 17:20:04,2026-06-01 10:00:00,18.3,0.0,10,Clear
2026-06-08 17:20:04,2026-06-01 11:00:00,19.4,0.0,11,Clear
2026-06-08 17:20:04,2026-06-01 12:00:00,19.6,0.0,12,Clear
2026-06-08 17:20:04,2026-06-01 13:00:00,20.9,0.0,13,Clear
2026-06-08 17:20:04,2026-06-01 14:00:00,21.7,0.0,14,Clear
2026-06-08 17:20:04,2026-06-01 15:00:00,22.2,0.0,15,Clear
2026-06-08 17:20:04,2026-06-01 16:00:00,22.3,0.0,16,Clear
2026-06-08 17:20:04,2026-06-01 17:00:00,22.2,0.0,17,Clear
2026-06-08 17:20:04,2026-06-01 18:00:00,21.5,0.0,18,Clear
2026-06-08 17:20:04,2026-06-01 19:00:00,20.6,0.0,19,Clear
2026-06-08 17:20:04,2026-06-01 20:00:00,19.6,0.0,20,Clear
2026-06-08 17:20:04,2026-06-01 21:00:00,18.5,0.0,21,Clear
2026-06-08 17:20:04,2026-06-01 22:00:00,17.4,0.0,22,Clear
2026-06-08 17:20:04,2026-06-01 23:00:00,16.7,0.0,23,Clear
2026-06-08 17:20:04,2026-06-02 00:00:00,15.9,0.0,0,Clear
2026-06-08 17:20:04,2026-06-02 01:00:00,15.6,0.0,1,Clear
2026-06-08 17:20:04,2026-06-02 02:00:00,15.3,0.0,2,Clear
2026-06-08 17:20:04,2026-06-02 03:00:00,15.2,0.0,3,Clear
2026-06-08 17:20:04,2026-06-02 04:00:00,15.0,0.0,4,Clear
2026-06-08 17:20:04,2026-06-02 05:00:00,15.4,0.0,5,Clear
2026-06-08 17:20:04,2026-06-02 06:00:00,17.0,0.0,6,Clear
2026-06-08 17:20:04,2026-06-02 07:00:00,18.3,0.0,7,Clear
2026-06-08 17:20:04,2026-06-02 08:00:00,19.9,0.0,8,Clear
2026-06-08 17:20:04,2026-06-02 09:00:00,21.9,0.0,9,Clear
2026-06-08 17:20:04,2026-06-02 10:00:00,23.5,0.0,10,Clear
2026-06-08 17:20:04,2026-06-02 11:00:00,24.4,0.0,11,Clear
2026-06-08 17:20:04,2026-06-02 12:00:00,25.1,0.0,12,Clear
2026-06-08 17:20:04,2026-06-02 13:00:00,25.5,0.0,13,Clear
2026-06-08 17:20:04,2026-06-02 14:00:00,25.3,0.0,14,Clear
2026-06-08 17:20:04,2026-06-02 15:00:00,26.2,0.0,15,Clear
