headline,source,fetched_at,cleaned_headline
Lammy says he told JD Vance his Nowak comments were 'wrong',BBC News,2026-06-07 19:29:35,lammy told jd vance nowak comments wrong
Zelensky arrives in UK for Downing Street talks with European leaders,BBC News,2026-06-07 19:29:35,zelensky arrives downing street talks european leaders
"M&S launches new traineeship for 1,000 young people",BBC News,2026-06-07 19:29:35,ms launches traineeship young people
Steve Rosenberg: Russia's economic forum overshadowed by drone attacks on St Petersburg,BBC News,2026-06-07 19:29:35,steve rosenberg russias economic forum overshadowed drone attacks st petersburg
Son calls for Iran prisoner exchange for British pair,BBC News,2026-06-07 19:29:35,son calls iran prisoner exchange british pair
Royal Mail delivers new parent magazine to father 19 years late,BBC News,2026-06-07 19:29:35,royal mail delivers parent magazine father years late
Israel strikes Beirut suburb days after US-brokered truce,BBC News,2026-06-07 19:29:35,israel strikes beirut suburb days usbrokered truce
Antonelli wins Monaco Grand Prix from Hamilton after dramatic ending,BBC News,2026-06-07 19:29:35,antonelli wins monaco grand prix hamilton dramatic ending
Iran's World Cup team lands in Mexico amid US visa row,BBC News,2026-06-07 19:29:35,irans world cup team lands mexico visa row
"Girl, 16, among five arrested over Nowak protests as three charged",BBC News,2026-06-07 19:29:35,girl among arrested nowak protests charged
Australian doctor who underwent 'world-first' brain tumour treatment dies,BBC News,2026-06-07 19:29:35,australian doctor underwent worldfirst brain tumour treatment dies
Cosmeticorexia: How girls are falling down a skincare rabbit hole,BBC News,2026-06-07 19:29:35,cosmeticorexia girls falling down skincare rabbit hole
I was applying for hundreds of jobs - this tip helped me get one,BBC News,2026-06-07 19:29:35,applying hundreds jobs tip helped me
Not a football fan? Here's how to sound like a World Cup expert,BBC News,2026-06-07 19:29:35,football fan heres sound like world cup expert
"Cake sheds are making bakers £1,000 a week but the dream might be over",BBC News,2026-06-07 19:29:35,cake sheds making bakers £ week dream
Police officer on Love Island US faces hometown backlash,BBC News,2026-06-07 19:29:35,police officer love island faces hometown backlash
Who is NHS nurse and newest royal Harriet Sperling?,BBC News,2026-06-07 19:29:35,nhs nurse newest royal harriet sperling
"Lord's pitch does not benefit Test cricket, Stokes says after England beat New Zealand",BBC News,2026-06-07 19:29:35,lords pitch benefit test cricket stokes england beat zealand
Man arrested 22 years after teen murdered in Leeds,BBC News,2026-06-07 19:29:35,man arrested years teen murdered leeds
Huge crowds throng Madrid streets for Pope's open-air Mass,BBC News,2026-06-07 19:29:35,huge crowds throng madrid streets popes openair mass
Hundreds of captives freed from Boko Haram mountain hideout,BBC News,2026-06-07 19:29:35,hundreds captives freed boko haram mountain hideout
Simone Biles reveals health scare after 'almost dying',BBC News,2026-06-07 19:29:35,simone biles reveals health scare almost dying
"Delays to defence plan undermine UK credibility, MPs say",BBC News,2026-06-07 19:29:35,delays defence plan undermine credibility mps
BBC News app,BBC News,2026-06-07 19:29:35,bbc news app
David Lammy Tells JD Vance He's Wrong Over Immigration Comments,BBC News,2026-06-07 19:29:35,david lammy tells jd vance hes wrong immigration comments
Anthropic: AI could escape human control,BBC News,2026-06-07 19:29:35,anthropic ai escape human control
"Explore a place where science, politics and culture collide",BBC News,2026-06-07 19:29:35,explore place science politics culture collide
Antonelli wins Monaco from Hamilton after dramatic ending,BBC News,2026-06-07 19:29:35,antonelli wins monaco hamilton dramatic ending
Lord's pitch does not benefit Test format - Stokes,BBC News,2026-06-07 19:29:35,lords pitch benefit test format stokes
