product_name,raw_price,rating,timestamp,price,price_tier,title_word_count
A Light in the Attic,£51.77,3,2026-06-07 20:04:20,51.77,Expensive,5
Tipping the Velvet,£53.74,1,2026-06-07 20:04:20,53.74,Expensive,3
Soumission,£50.10,1,2026-06-07 20:04:20,50.1,Expensive,1
Sharp Objects,£47.82,4,2026-06-07 20:04:20,47.82,Expensive,2
Sapiens: A Brief History of Humankind,£54.23,5,2026-06-07 20:04:20,54.23,Expensive,6
The Requiem Red,£22.65,1,2026-06-07 20:04:20,22.65,Medium,3
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,2026-06-07 20:04:20,33.34,Medium,9
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3,2026-06-07 20:04:20,17.93,Cheap,15
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4,2026-06-07 20:04:20,22.6,Medium,18
The Black Maria,£52.15,1,2026-06-07 20:04:20,52.15,Expensive,3
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,2026-06-07 20:04:20,13.99,Cheap,6
Shakespeare's Sonnets,£20.66,4,2026-06-07 20:04:20,20.66,Medium,2
Set Me Free,£17.46,5,2026-06-07 20:04:20,17.46,Cheap,3
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,2026-06-07 20:04:20,52.29,Expensive,8
Rip it Up and Start Again,£35.02,5,2026-06-07 20:04:20,35.02,Medium,6
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,2026-06-07 20:04:20,57.25,Expensive,13
Olio,£23.88,1,2026-06-07 20:04:20,23.88,Medium,1
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,2026-06-07 20:04:20,37.59,Medium,7
Libertarianism for Beginners,£51.33,2,2026-06-07 20:04:20,51.33,Expensive,3
It's Only the Himalayas,£45.17,2,2026-06-07 20:04:20,45.17,Expensive,4
In Her Wake,£12.84,1,2026-06-07 20:04:21,12.84,Cheap,3
How Music Works,£37.32,2,2026-06-07 20:04:21,37.32,Medium,3
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,2026-06-07 20:04:21,30.52,Medium,26
Chase Me (Paris Nights #2),£25.27,5,2026-06-07 20:04:21,25.27,Medium,5
Black Dust,£34.53,5,2026-06-07 20:04:21,34.53,Medium,2
Birdsong: A Story in Pictures,£54.64,3,2026-06-07 20:04:21,54.64,Expensive,5
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3,2026-06-07 20:04:21,22.5,Medium,14
Aladdin and His Wonderful Lamp,£53.13,3,2026-06-07 20:04:21,53.13,Expensive,5
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,2026-06-07 20:04:21,40.3,Expensive,6
Wall and Piece,£44.18,4,2026-06-07 20:04:21,44.18,Expensive,3
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5,2026-06-07 20:04:21,17.66,Cheap,9
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,2026-06-07 20:04:21,31.05,Medium,12
The Elephant Tree,£23.82,5,2026-06-07 20:04:21,23.82,Medium,3
The Bear and the Piano,£36.89,1,2026-06-07 20:04:21,36.89,Medium,5
Sophie's World,£15.94,5,2026-06-07 20:04:21,15.94,Cheap,2
Penny Maybe,£33.29,3,2026-06-07 20:04:21,33.29,Medium,2
Maude (1883-1993):She Grew Up with the country,£18.02,2,2026-06-07 20:04:21,18.02,Cheap,7
"In a Dark, Dark Wood",£19.63,1,2026-06-07 20:04:21,19.63,Cheap,5
Behind Closed Doors,£52.22,4,2026-06-07 20:04:21,52.22,Expensive,3
You can't bury them all: Poems,£33.63,2,2026-06-07 20:04:21,33.63,Medium,6
Slow States of Collapse: Poems,£57.31,3,2026-06-07 20:04:21,57.31,Expensive,5
Reasons to Stay Alive,£26.41,2,2026-06-07 20:04:21,26.41,Medium,4
Private Paris (Private #10),£47.61,5,2026-06-07 20:04:21,47.61,Expensive,4
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5,2026-06-07 20:04:21,23.11,Medium,11
Without Borders (Wanderlove #1),£45.07,2,2026-06-07 20:04:21,45.07,Expensive,4
When We Collided,£31.77,1,2026-06-07 20:04:21,31.77,Medium,3
"We Love You, Charlie Freeman",£50.27,5,2026-06-07 20:04:21,50.27,Expensive,5
Untitled Collection: Sabbath Poems 2014,£14.27,4,2026-06-07 20:04:21,14.27,Cheap,5
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,4,2026-06-07 20:04:21,44.18,Expensive,18
Unicorn Tracks,£18.78,3,2026-06-07 20:04:21,18.78,Cheap,2
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,1,2026-06-07 20:04:21,25.52,Medium,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,1,2026-06-07 20:04:21,16.28,Cheap,8
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,3,2026-06-07 20:04:21,31.12,Medium,13
This One Summer,£19.49,4,2026-06-07 20:04:21,19.49,Cheap,3
Thirst,£17.27,5,2026-06-07 20:04:21,17.27,Cheap,1
The Torch Is Passed: A Harding Family Story,£19.09,1,2026-06-07 20:04:21,19.09,Cheap,8
The Secret of Dreadwillow Carse,£56.13,1,2026-06-07 20:04:21,56.13,Expensive,5
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,1,2026-06-07 20:04:21,56.41,Expensive,18
The Past Never Ends,£56.50,4,2026-06-07 20:04:21,56.5,Expensive,4
The Natural History of Us (The Fine Art of Pretending #2),£45.22,3,2026-06-07 20:04:21,45.22,Expensive,11
The Nameless City (The Nameless City #1),£38.16,4,2026-06-07 20:04:22,38.16,Medium,7
The Murder That Never Was (Forensic Instincts #5),£54.11,3,2026-06-07 20:04:22,54.11,Expensive,8
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,4,2026-06-07 20:04:22,42.96,Expensive,10
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4,2026-06-07 20:04:22,23.89,Medium,22
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3,2026-06-07 20:04:22,16.77,Cheap,13
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,5,2026-06-07 20:04:22,20.59,Medium,11
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1,2026-06-07 20:04:22,37.13,Medium,10
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1,2026-06-07 20:04:22,56.06,Expensive,10
The Death of Humanity: and the Case for Life,£58.11,4,2026-06-07 20:04:22,58.11,Expensive,9
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,3,2026-06-07 20:04:22,49.05,Expensive,17
The Art Forger,£40.76,3,2026-06-07 20:04:22,40.76,Expensive,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,1,2026-06-07 20:04:22,19.73,Cheap,14
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,5,2026-06-07 20:04:22,32.24,Medium,11
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,4,2026-06-07 20:04:22,41.83,Expensive,14
Soul Reader,£39.58,2,2026-06-07 20:04:22,39.58,Medium,2
Security,£39.25,2,2026-06-07 20:04:22,39.25,Medium,1
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,3,2026-06-07 20:04:22,25.02,Medium,7
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,2,2026-06-07 20:04:22,51.04,Expensive,7
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,2,2026-06-07 20:04:22,19.83,Cheap,9
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,3,2026-06-07 20:04:22,50.4,Expensive,10
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,5,2026-06-07 20:04:23,13.61,Cheap,11
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5,2026-06-07 20:04:23,13.34,Cheap,6
"Pop Gun War, Volume 1: Gift",£18.97,1,2026-06-07 20:04:23,18.97,Cheap,6
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,2,2026-06-07 20:04:23,36.28,Medium,23
Patience,£10.16,3,2026-06-07 20:04:23,10.16,Cheap,1
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,4,2026-06-07 20:04:23,15.44,Cheap,9
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,1,2026-06-07 20:04:23,48.41,Expensive,10
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,1,2026-06-07 20:04:23,46.35,Expensive,8
On a Midnight Clear,£14.07,3,2026-06-07 20:04:23,14.07,Cheap,4
Obsidian (Lux #1),£14.86,2,2026-06-07 20:04:23,14.86,Cheap,3
My Paris Kitchen: Recipes and Stories,£33.37,2,2026-06-07 20:04:23,33.37,Medium,6
Masks and Shadows,£56.40,2,2026-06-07 20:04:23,56.4,Expensive,3
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,4,2026-06-07 20:04:23,14.02,Cheap,12
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,2,2026-06-07 20:04:23,46.91,Expensive,9
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,3,2026-06-07 20:04:23,45.61,Expensive,9
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,2,2026-06-07 20:04:23,19.92,Cheap,8
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,1,2026-06-07 20:04:23,40.11,Expensive,7
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2,2026-06-07 20:04:23,53.9,Expensive,11
Join,£35.67,5,2026-06-07 20:04:23,35.67,Medium,1
In the Country We Love: My Family Divided,£22.00,4,2026-06-07 20:04:23,22.0,Medium,8
